"","spotify_id","name","followers","genres"
"132","4EnEZVjo3w1cwcQYePccay","N.W.A.",4406958,"['conscious hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']"
"133","3MHaV05u0io8fQbZ2XPtlC","Prince Royce",7222786,"['bachata', 'latin hip hop', 'latin pop']"
"134","6LqNN22kT3074XbTVUrhzX","Kesha",7422116,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
"135","0H39MdGGX6dbnnQPt6NQkZ","SAINt JHN",877621,"['melodic rap', 'pop rap', 'rap', 'slap house']"
"136","4TEJudQY2pXxVHPE3gD2EU","BlocBoy JB",1380403,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'vapor trap', 'viral rap']"
"137","2MuFzH1J5I6gGFYo2qhZmX","Ryn Weaver",218572,"['electropop', 'indie pop', 'indie poptimism']"
"138","7pwufEBGfggjoI8twqlsmQ","Nessa Barrett",821246,"['alt z', 'electropop', 'pop', 'social media pop']"
"139","1qto4hHid1P71emI6Fd8xi","Aventura",6383626,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']"
"140","5R3Hr2cnCCjt220Jmt2xLf","Dillon Francis",1102116,"['brostep', 'dance pop', 'edm', 'electro house', 'electronic trap', 'electropop', 'house', 'moombahton', 'pop', 'pop dance', 'slap house', 'tropical house']"
"141","5SyGEPymt1G2uto47tVWvZ","MadeinTYO",1008764,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']"
"142","4yBK75WVCQXej1p04GWqxH","Jeezy",2206605,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"143","3CjlHNtplJyTf9npxaPl5w","CHVRCHES",1314107,"['electropop', 'metropopolis', 'neo-synthpop', 'shimmer pop']"
